,titluCarte,Bag_of_words
106,the a list: the national society of film critics' 100 essential films,jaycarr dacapopress ['performingarts' 'film' 'general'] peopl love movi list alist natur plenti encycloped film compuls readabl book written expressli volumeflag best chosen consensu nation societi film critic worldrenown organ embrac america distinguish forti writer follow well devot local constitu major citi new york chicago lo angel boston philadelphia atlanta minneapoli make mistak isnt collect esoter choic made select base intrins merit role develop motionpictur art impact cultur choic controversi omiss jumpingoff point discuss year come sinc volum span intern begin act balanc recent guid domin last two decad hardli golden age definit readi closeup
107,not so big solutions for your home,sarahsusanka tauntonpress ['house&home' 'design&construction'] sarah susanka big solut home explor practic design idea transform hous great look work feel right ownersarah susanka whose previou bestsel book show homeown appreci creat beauti visual expans reflect famili realli live offer reader everyday everyth select site new design mailsort space photograph along draw sketchbook illustr livingnot compil column written fine homebuild magazin make architectur access peopl train field provid wide varieti
108,center of the storm,katherineharris wndbooks ['politicalscience' 'politicalprocess' 'campaigns&elections'] battl white hous follow elect novemb arguabl one biggest controversi us histori woman stood center stormkatherin harri florida secretari statea florida recount unfold maze bizarr event face challeng lifetim enabl maintain integr stick gun hold true principl tell allin storm discusess behindthescen negoti backroom barter everyon suspect dare disclos nevertoldbefor anecdot reveal seventeen essenti skill help surviv thrive clearli illustr learn help time crise
109,seduction in death,j.d.robb berkleypublishinggroup ['fiction' 'romance' 'contemporary'] new york time bestsel author j robb come tantal novel futurist death seri detect eve dalla search casanova killer deadli appetit seductiondant court victim cyberspac week meet person sip wine hour later dead murder weapon rare usual undetect daterap drug street valu quarter million dollarsdetect play replay clue mind candlelight music rose petal strewn across beda seduct meant benefit hadnt intend kill left two choic either hole fear guilt start hunt
110,versailles: a novel,kathryndavis houghtonmifflincompany ['fiction' 'historical' 'general'] fiction account life mari antoinett follow challeng earli marriag futur king loui xvi struggl expect station pain palac betray polit interact figur mirabeau du barri robespierr reprint
111,crossing to safety,wallaceearlestegner penguinbooks ['fiction' 'general'] chronicl lifelong friendship morgan young coupl talent dream prospect connect lang wealthi gener enough share good fortun
112,easy suppers,patjester berkleypubgroup ['cooking' 'general'] especi design peopl go recip supper made thirti minut less includ imagin idea quick sandwich salad veget much
113,living loving and learning,leof.buscaglia ballantinebooks ['self-help' 'motivational&inspirational'] live love learn delight collect dr buscaglia inform amus lectur deliv worldwid inspir treasur eager accept challeng life profit wonder love
114,pay it forward,catherineryanhyde pocket ['fiction' 'general'] start social studi teacher extracredit assign come plan chang world better twelveyearold trevor mckinney began someth good three peopl instead pay back ask pay forward favor turn would help other act link chain human kindnessand one teacher mom anyon small california town could ever dream far trevor go
115,in the shadow of the prophet: the struggle for the soul of islam,miltonviorst westviewpress ['politicalscience' 'government' 'comparative'] expert middl east explor polit cultur religi struggl exist today fundamentalist conserv islam sect iran sudan algeria countri consequ west
116,titmuss regained,johnmortimer penguinbooksltd ['fiction' 'literary'] polit ideolog person reveng clash politician lesli titmuss forc stand propos develop greensward countri town rapston valley
117,"brain builders!: a lifelong guide to sharper thinking, better memory, and an age-proof mind",richardleviton prenticehallart ['self-help' 'personalgrowth' 'memoryimprovement'] hundr way preserv restor improv brain potenti allnatur techniqu help boost brain power prevent mental age repres latest develop score disciplin includ medit yoga nutrit vitamin herb
118,a cup of tea (ballantine reader's circle),amyephron ballantinebooks ['fiction' 'historical'] jane smiley laud harriet beecher stow uncl tom cabin artistri power brilliant analysi marri great wisdom feel alltru travel adventur lidi newton measur standard ms smiley choos describ lidi titl novel would work differ author chosen turn research narr nonfict authent well undermin myth north south antebellum america tradit notion frontier life westward expans gender role confirm challeng husband death describ new person one never desir expect relationship former self present chanc ambit shape charact landscap function major kansa territori write could easili act way minut anoth next place inhabit kt lack definit make possibl discoveri lead adventur mind physic endeavor compar contempl pursuitsparticularli storytellingin term defin said born desir explor intersect ideolog violenc american connect suggest exist two extrem form express way sensibl abolitionist mirror slavehold group use religion histori justifi perspect slaveri manner tom handl vagari challeng affect progress social chang attempt one privat public endeavour purpos serv introduc chapter excerpt catherin beecher treatis domest economi young ladi home experi reflect help move ignor innoc sort understand other yet confus ambival persist valu leav reader compani conflict literatur us face respons instead enabl avoid light fulfil lie signific pursu reveng disguis man discern moral kt free stater justifi freedom anteced repercuss issu provid histor event need tell woman point view conjectur cours thoma die presenc absenc day charact papa helen day contribut moral complex lorna deepen diminish essay huckleberri finn reproach mark twain present facil heroism wrote hero acknowledg poor sidekick human dont actual interest human success interest lorna writer passion believ perfect dedic membership john steinbeck say given leav sens optim novel tone present opportun share stori experi hesit disinclin ponder disinclin length explain owe tell worldmr thayer friend candidli admit thinglorna benefit accomplish
119,stern men,elizabethgilbert houghtonmifflinco ['fiction' 'literary'] two remot island coast main local lobstermen fought savag gener fish right ocean water young ruth thoma born feud daughter one greediest eighteen year old smart whip irredeem unromant return home board school determin throw educ overboard join stern men escal help work lobster boat brush profan eventu fall owney wishnel handsom lobsterman funni clever wise seattl time captur feisti american spirit unforgett heroin destin great despit
120,god save the queen,dorothycannell bantam ['fiction' 'mystery&detective' 'general'] gloomi gossing hall chill centuri call three sweater sir henri drop bombshel hour unexplain penanc knee chapel announc unwit rel written new willbequeath everyth devot butler hutchin sinc day georg iii roguish rowland accus steal queen silver tea strainer scandal threaten famili honor wors yet comefor miss soon becom appar thing distinguish inherit place cemeteri found head princip fixtur twelfthcenturi privi may victim foul play could meant die word god save queento flora deceas sweet young granddaught hutchinss death tragic loss rais rememb grandfath dedic nobl gossing includ henri socialclimb wife state legend told polish life london kind vivian nephew former heir eas painyet hall histori treacheri intrigu top ongo rift royal regard longlost cast shadow suddenli find caught murder tangl web even familiar face hide heart coldblood killer
121,the myth of laziness,mellevine simon&amp;schuster ['education' 'teachingmethods&materials' 'general'] call someon lazi condemn human write mel levin md myth lazi bestsel author mind time show children dismiss unproduct usual suffer call output failurea neurodevelopment dysfunct continu caus difficulti adulthood left uncheckedth desir product univers say dr drive often frustrat dysfunct obstruct product draw clinic experi use reallif exampl adult work identifi remedi child suffer languag product exampl may incap clearli express explain thought therebi lead low school difficulti make choic wait late complet project act impuls creat pattern bad judgment similarli memori weak unabl draw accumul knowledg assign case write skill key diagnos specif caus failur practic wise compassion offer parent teacher daytoday strategi support prevent necessari help overcom becom success
122,the 8-week cholesterol cure cookbook: more than 200 delicious recipes featuring the foods proven to lower cholesterol,roberte.kowalski harpercollins ['cooking' 'general'] appli principl outlin eightweek cholesterol cure author present two hundr imagin easytoprepar recip contribut lower level
123,billy bathgate,e.l.doctorow randomhouse ['fiction' 'literary'] young billi bathgat wit atroc crime world introduct brutal unspar life take heart citi rural underworld depressionera america
124,the corset diaries,katiemacalister onyxbooks ['fiction' 'romance' 'contemporary'] realiti tv never entertain wickedli funni macalist heroin record hilari experi quirki cast charact passion encount max laughterlac diari sauci sexi delightbooklistno woman right mind would consent wear corset month especi skinnychalleng like tessa dream debtfre danc head get offer appear show life victorian duke real peopl pretend live english estat circa tessa lead mana reallif dukei handsom bare breath without
125,ruled britannia,harryturtledove newamericanlibrary ['fiction' 'general'] year nearli decad island britain rule king phillip name spain citizenri live enforc curfew fear inquisit agent put heret torch public display queen elizabeth imprison tower london british symbol unit enemi occupi landwilliam shakespear interest polit passion write theatr word bring laughter tear populac afraid speak tyranni spanish crown given opportun pen greatest work drama incit peopl rise persecutor chang cours histori
126,surviving ophelia: mothers share their wisdom in navigating the tumultuous teenage years,cheryldellasega perseuspublishing ['family&relationships' 'parenting' 'general'] teen year fraught crisi mani girl motherdaught relationship deterior drastic time teenag daughter began spiral control therapist cheryl dellasega phd launch nationwid search find answer hope inspir compassion book share strength wisdom mother seen daughter tumult adolescencedraw experi score take hard look live crisisonc happi carefre children struggl eat disord unplan pregnanc substanc abus sever mental problem stori edg tri everyth save yet even desper situat hear clear messag key surviv support understand other go thingsurviv ophelia provid commun troubl need anyth power heartfelt captur pain live daili challeng rais today
127,leadership is an art,maxdepree dell ['business&economics' 'general'] explor leadership art must felt experienc creat discuss appli abil sens integr busi manag situat
128,the gift for all people,maxlucado multnomahpublishersinc. ['religion' 'christianlife' 'general'] gift peopl celebr god salvat wrap collect inspir stori help christian comprehend treasur assur nonchristian realiz embrac abund etern life jesu christ conclud stori written especi book urg reader give live show provid uniqu warm attract present gospel nonchristian famili friendsmor anyth god want design world place planet simpli home bring offer giftth prayer page youll see like youv never seen alreadi accept thank pray lifetim
129,complete idiot's guide to upgrading and repairing pcs,jenniferfulton que ['computers' 'operatingsystems' 'windowsworkstation'] unintimid refer offer advic upgrad comput hardwar softwar increas product includ inform purchas instal peripher origin beginn
130,"the crystal city (tales of alvin maker, book 6)",orsonscottcard torbooks ['fiction' 'fantasy' 'general'] use lore folkmag men women settl north america orson scott card creat altern world magic work color entir histori coloni charm beseech hex potion place live peopl dowser find water second sight warn danger come torch read person futureor heartin knack abound alvin seventh son special man inde he maker knack understand thing put togeth creat repair keep whole tear heal heart well bone build hous calm water blow storm teach other measur talentalvin tri avert terribl war wife peggi extraordinari power seen lifelin everi american sent mizzippi citi new orlean nueva barcelona call spanish occup doesnt know exactli brotherinlaw arthur stuart lodg famili abolitionist suspect hell soon experi plagu alvin effort protect friend keep healthi danger could ever suspect save poor greatest test lifea draw time turn old friend tenskwatawa red prophet control land west must take first step road crystal shown vision long ago
131,the diary of an american au pair: a novel,marjorieleetford anchorbooks/doubleday ['fiction' 'women'] lose advertis job san francisco cancel wed though engag unencumb melissa harbor grand illus life england head new au pair famili member parliament minorli aristocrat haigereildoun household fall far short melissa imagin mr haigereildoun refer american girl mixtur pride contempt expect share children bathwat importantli entreat tri speak heaven forbid children pick accentbut nanni glorious eccentr octogenarian rais offer comfort much comic relief nineyearold trevor charg whose wisdom companionship redeem mani lone day bud friendship mysteri englishman mile fiancé everi way convers scotish fishermen breakfast french minist cultur frequent island castl sixteenth centuri manor hous straddl illdefin role somewher houseguest servant humor grace immers unforgett world teach could possibl imagin come inhabit
132,the invitation,oriahmountaindreamer harpersanfrancisco ['body' 'mind&spirit' 'inspiration&personalgrowth'] visionari author oriah mountain dreamer bring life wisdom belov invit touch heart everywher fresh spirit call live deepli honestli well like inspir robert fulghum realli need know learn kindergarten cheri carterscott game rule margaret fishback power footprint poem spark embrac around world pass along thousand discov treasur messag love gift book speak heart reflect everyth desir betray offer practic often surpris suggest ecstasi everyday learn recognis true beauti us find susten spirit long recit quot countless spiritu confer network radio bli jack kornfield angel arrien mani leader ȴ doesnt interest live want ach dare dream meet long old risk look fool love adventur aliv
133,the ghost writer,johnharwood harcourt ['fiction' 'literary'] tantal tale suspens famili secret weav victorian ghost stori presentwher start come true timid solitari librarian gerard freeman live two thing elus pen pal alic stori found hidden mother drawer year ago written greatgrandmoth viola hint role sinist crime discov viola chill tale realiz might hold key find unveil mysteryor bring untim death seem foretel harwood astonish assur debut show us danger skeletonsand storiescan
134,soldier of light,johndelancie atria ['fiction' 'sciencefiction' 'adventure'] day tomorrow earli next millenia world peopl begin experienc bizarr mental transform major men woman find mind shut hand develop astound new psychic abil adeptsan ordinari famili man autist child beauti guatemalan revolutionari mysteri european travel vast ambit secret agenda societi break apart allianc form stranger becom lock crucial battl determin futur brave worldbut human war deep beneath earth alien intellig dormant thirti million year stir send tendril vulner multitud inhuman entiti plan includ homo sapien
135,cold cold heart,jameselliot randomhouseaudio ['fiction' 'general'] former cia agent mike culley tri block din voic bounc concret constant companion sinc arriv prison fourteen month lie congress protect agenc loyalti repaid superior sell lost everyth love except daughter jennywhen seri brutal murder terror quiet virginia campu culley boss offer deal exchang freedom must captur man suspect respons savag kill spree name john malik he brilliant bizarr deadli know insid outno one could hunt master subterfug stealth even juli houser nypd detect turn investig report tail thrown togeth nervetwist race time form uneasi allianc get stori lifebut bitter made danger secret agenda malik cun choic next victim would make person shatter began job hire becom fight life pride hold dear
136,anthem,aynrand signetbook ['literarycriticism' 'general'] ayn rand classic tale dystopian futur great wea world depriv individu name independencethat anticip later masterpiec fountainhead atla shruggedthey exist serv state conceiv control palac mate die home useless cradl grave crowd oneth wein left human one man dare think seek love live dark age loveless woman choic age lost trace scienc civil courag find knowledg crime would hunt mark death commit unpardon sin stood forth mindless human herd alon rediscov holi wordii worship highest possibl loath failur live possibilitiesayn rand
137,"full woman, fleshly apple, hot moon: selected poems of pablo neruda",stephenmitchell perennial ['poetry' 'european' 'general'] prais stephen mitchel translat rilk perhap beauti group poetic translat centuri produc chicago tribunethi without doubt best english render faith origin poetri hope linguist mean express erich heller
138,"the adoption reader: birth mothers, adoptive mothers, and adopted daughters tell their stories",susanwadia-ells avalonpublishinggroup ['family&relationships' 'adoption&fostering'] person essay stori inform contemporari adopt movement rais time issu illustr complex among open close crosscultur birth record debat experi biraci adopte lesbian coupl search identityfeatur work wellknown writer activist reader help hope vital collect growth selfunderstand mustread book anyon touch
139,creating a butterfly garden,marcusschneck fireside ['gardening' 'gardendesign'] plan color paradis butterfli garden plant maintain kind flower shrub tree plant flutter beauti find irresist love practic guid offer varieti plan design attract help select differ stage live food caterpillar nectar adult gorgeou visitor flock fragrant youll enjoy refer butterfli identifi includ creat detail garden inform fascin fact life cycl wing creatur everyth need know let sanctuari blossom backyard
140,humbug,ninabawden puffinbooks ['juvenilefiction' 'family' 'multigenerational'] sent stay next door seemingli pleasant aunt sunday eightyearold cora torment sunday meanspirit deceit daughter find alli elderli mother
141,the blossom angel (forever angles),suzanneweyn trollcommunications ['juvenilefiction' 'general'] ashley use new job veterinarian helper tri untest wild plant call angelbloom anim take real angel help handl troubl caus nearli die
142,"wit and wisdom of the american presidents: a book of quotations (dover thrift editions,)",joslynpine doverpublications ['reference' 'quotations'] know two tune said ulyss grant one yanke doodl isnt jimmi carter observ whatev start california unfortun inclin spread warren hard complain white hous prison cant get away men dog footstep jailthi entertain handi littl book includ memor quot express america chief execut past centuri among chester arthur blunt may presid unit state privat life nobodi damn busi calvin coolidg ters america dwight eisenhow farm look mighti easi plow pencil your thousand mile cornfield georg herbert walker bush read lip new taxesfrom washington barack obama presidenti declar provid public speaker student american histori wealth use materi theyll also delight gener reader
143,tikki tikki tembo (an owlet book),arlenemosel henryholtandco.(byr) ['juvenilefiction' 'fairytales&folklore' 'country&ethnic'] tikki tembono sa rembochari bari ruchipip peri pembothre decad one million copi later children still love hear boy long name fell well arlen mosel blair lent classic recreat ancient chines folktal hook legion teacher parent return gener learn danger honor pembo
144,french kiss,ericvanlustbader fawcett ['fiction' 'general'] murder search prey dauw onth trio weapon imbu mythic power said whoever possess domin indochina control opium two men aleadi murder pray duaw brother new york lawyer chri hay nypd detect steve guarda readi face savag madman stop noth destroy themsuspens sustain final pagelo angel timesfrom paperback edit
145,gulliver's travels (troll illustrated classics),jonathanswift trollcommunications ['juvenilefiction' 'classics'] shipwreck cast adrift lemuel gulliv wake find lilliput island inhabit littl peopl whose sixinch height make quarrel fashion fame seem ridicul subsequ encount crude giant brobdingnag abstract scientist laputa philosoph houyhnhnm brutish yahoo give new bitter insight human behaviour
146,pandora,annerice distribooks ['fiction' 'fantasy' 'historical'] ann rice creator vampir lestat mayfair witch amaz world inhabit give us first new seri novel link togeth fledgl david talbot set becom chronicl fellow undeadth novel open presentday pari crowd café meet pandora two thousand year old child millennia ever made great mariu persuad tell stori lifepandora begin reluctantli increas passion recount mesmer tale take age imperi rome eighteenthcenturi franc twentiethcenturi orlean carri back mortal girlhood world caesar augustu chronicl ovid petroniu fall love handsom charismat lightheart stillmort forc flee fear assassin conspir plot take citi follow exot port antioch destin reunit immort haunt natur bestow dark gift fraught fantast adventur turbul centuri
147,ancient evenings,normanmailer warnerbooks>c/olittlebr ['fiction' 'general'] egypt nineteenth twentieth bcmenenhetet reincarn three time fate take peasant childhood power pharaoh intim advis squalor grave rob
148,the view from saturday,e.l.konigsburg aladdin ['juvenilefiction' 'socialthemes' 'friendship'] mr olinski chosen sixthgrad academ bowl team number answer true realli noah nadia ethan julian make good surpris lot peopl olinski contest epiphani middl school even bigger beat seventh grade eighth went greater victori everyon began ask happen happen least partli best man quit accid wed ethan grandmoth nadia grandfath discov could let babi turtl die face disast alon valu someth import saw three also return teach injur automobil found becam answer find confid success know first knew tale class seri contest set midst four jewellik short stori one member question demonstr surpris
149,the international garlic cookbook,publishersstafcollins harpercollins ['cooking' 'specificingredients' 'herbs' food inspir passion respons garlic word conjur imag rich delect dish italian pasta chines stirfri mediterranean sauc french everyth reput possess power ward vampir common cold prevent heart diseas scientist studi chef experi rest us revel itth intern cookbook bring togeth nearli recip around world select popular best seri show stink rose wonder varieti whole chop quickli slowli roast robust gentl fancier indulg fantasi allamerican mash potato north beach cioppino california franc classic chicken clove itali fettuccin al pesto soup spain stirfri spinach fragrant china steam mussel layer thai herb thailand beauti color photograph throughout bring extraordinari culinari collect life
150,on mexican time: a new life in san miguel,tonycohan broadwaybooks ['travel' 'essays&travelogues'] american writer wife find new homeand leas lifein charm sixteenthcenturi hill town san miguel de allend mexicowhen lo angel novelist toni cohan artist masako visit central mexico one winter fell spell place pace life leisur cobbleston street sunsplash plaza enchant sight sound daili fiesta fill air awaken need didnt know return california sold hous cast mexican time cohan evoc written memoir absorb town sensual ambianc eventu refurbish crumbl becom entwin endless drama brim mysteri joy hilar stir seduct celebr anoth way lifea tale american find home anew
151,the politically correct guide to american history,edwardp.moser randomhouseinc ['humor' 'topic' 'political'] found father crossdress paula bunyan lumberjan benedict arnold treason anoth lifestyl choic american past may rememb social studi class polit correct guid histori rewrit us accord core curriculum polit correct frivol lawsuit anim right activ racial quota inyourfac femin widerang tour de farc satir stew vari topic materi tabloid journal gun control royal famili cours j simpson trialin crack herstor text georg washington doesnt chop cherri tree murder nobl repres voiceless beleagu speci retold devil daniel webster satan innoc victim fireandbrimston syndrom louisiana purchas almost never happen presid thoma jefferson face sexual harass suit salli heme gang outlaw k corral recast freedomlov privat militia
152,the monkey handlers,gordonliddy st.martin'spress ['fiction' 'general'] brave proud damn sara rosen dark impuls beauti radic act behalf anim right land terribl dangermichael stone kept tool former trade close trunk must open seal war chest strike heart intern terrorism rajul he never photograph identifi weapon look spread horror death unit state inth monkey handler g gordon liddi
153,cover letters that knock 'em dead,martinjohnyate adamsmediacorp ['business&economics' 'careers' 'resumes'] offer advic write professionallook cover letter complement accompani resum draw attent job applic includ guidanc resum interview hunt
154,the best school year ever,barbararobinson harpercollins ['juvenilefiction' 'school&education'] buckl wild ride involv miss gerbil crazi cat tattoo babi reader age laugh hilari novel star herdman worst kid world made first appear author barbara robinson classic best christma pageant everin school year ever imogen claud ralph leroy olli gladi herdman havent chang bit still set thing fire knock black blueon day teacher ask student think compliment classmat beth bradley pick name cant anyth good soon begin see new lightmayb behind outrag prank someth
155,my recipes are for the birds,irene.cosgrove mainstreetbooks ['nature' 'general'] recip special seed suet treat winter bird prefac note feed station dispens contain ground feeder
156,the marriage contract,cathymaxwell avon ['fiction' 'romance' 'historical' man exil societi handsom unpredict proud dark rumour surround name ann burnett sign marriag contract bind aiden black earl tiebauld although shed never met she determin keep word make truth wellbr ladi littl fortun recommend choic moment arriv fell love kelwin castl roguishli laird day instil fierc loyalti peopl master waysand night tempt surrend innoc will offer bodi refus give heartmak wonder prevent truli claim wife
157,four faultless felons,gilbertkeithchesterton doverpublications ['fiction' 'mystery&detective' 'general'] seri four intertwin novella whose central charact appear involv murder fraud theft treason dazzl read cover new york time
158,"if i ever get back to georgia, i'm gonna nail my feet to the ground",lewisgrizzard ballantinebooks ['humor' 'general'] newsroom anecdot observ northern weather women food manner make humorist remembr year sport editor chicago tribun
159,what bird did that?: a driver's guide to some common birds of north america,peterhansard tenspeedpress ['pets' 'birds'] unusu guid bird drop identifi fortyf differ bird inform habitat food
160,home truths,davidlodge penguinbooks ['fiction' 'general'] happi famili hard work
161,piercing the darkness,franke.peretti crosswaybooks ['fiction' 'westerns'] tini farm commun bacon corner attempt murder case mistaken ident lawsuit struggl christian school lead salli beth roe flee life
162,requiem,clarefrancis panmacmillan ['fiction' 'fantasy' 'contemporary'] sacr mysteriesfollow death wife tom webster travel jerusalem search friend colleg day haunt citi divid war religi group offer refug guilt griefa wander street archaeolog site mysteri old woman appear deliv messag seem beyond comprehens fragment dead sea scroll kept hidden elderli innkeep offer key understand woman pronouncementsperhap spirit mari magdelen tri reveal histori resurrect perhap truth even stranger
163,falling in love with jesus abandoning yourself to the greatest romance of your life,deebrestin wpublishinggroup ['religion' 'christianity' 'general'] author dee brestin kathi troccoli introduc reader ultim love relationship time jesu christ use humor contemporari song reallif stori solid biblic teach help women discov lifechang intimaci matter age marit statu bride object affect secret abund life lie ten step develop deep abandon greatest romanc
164,washington goes to war,davidbrinkley randomhouseinc ['history' 'unitedstates' 'general'] note televis newscast comment present social polit protrait nation capit world war ii profil key person trace citysand nationstransform
165,stardust of yesterday (haunted hearts),lynnkurland berkleypubgroup(mm) ['fiction' 'romance' 'contemporary'] inherit castleand ghost go itgeneviev buchanan find fall love spectr kendrick de piaget arrog thirteenthcenturi knight origin
166,titanic: legacy of the world's greatest ocean liner,susanwels time-lifebooks ['transportation' 'ships&shipbuilding' 'history'] trace entir titan stori construct earli present day explor bottom north atlant
167,shock,robincook g.p.putnam'ssons ['fiction' 'thrillers' 'suspense'] deborah cochran joanna meissner close friend fellow grad student respond campu newspap ad promis solv financi problem exclus highli profit fertil clinic northwest boston will pay top dollar attract slim athlet ivyleagu egg donor women pleas accept donor program wingat infertil procedur done quickli minim inconveni impress personnel background biolog applaud organ commit research intrigu busi aspect idea treat lucr endeavor money earn donat deborah joanna circumst chang dramat use lion share proce payment twobedroom condominium splurg extend trip venic return cant resist urg look fate donat egg drawn curios turn fullblown obsess pair stymi wingat iron veil secreci remain undet particularli uncov disturb irregular truth ultim discov far exce worst imagin
168,a slant of sun: one child's courage,bethkephart quill ['biography&autobiography' 'medical(incl.patients)'] name best book year salon magazin philadelphia inquir slant sun prais incandesc prose experi love child bring tremend frustrat incalcul reward extraordinari reson like oper instruct liar club contemporari classicnearli one five children grow face development behavior challeng beth kephart son jeremi show earli sign differ languag elud prefer play alon afternoon jungl gym doctor diagnos mild form autism call pervas disordernot otherwis specifi passion memoir kephart guid twin tool intuit imagin help lead toward whole puls question normal possibl defin speak everyonenot parentsof redempt power love
169,metaphase,vondan.mcintyre spectrabooks ['fiction' 'sciencefiction' 'general'] third instal starfar seri find j sauvag crew prepar meet reclus alien squidmoth present dubiou offer must risk everyth reissu
170,strong motion: a novel,jonathanfranzen picadorusa ['fiction' 'literary'] loui holland arriv boston spring ecolog upheav rash earthquak north shore odd luck first one kill grandmoth tri maintain independ fall love harvard seismologist whose discoveri caus complic everyth
171,the writer's digest handbook of novel writing,editorsofwriter'sdigest writer'sdigestbooks ['languagearts&disciplines' 'writing' 'authorship'] cover tone plot character dialogu point view pace research revis agent manuscript submiss book contract copyedit
172,another you,annbeattie randomhouseinc ['fiction' 'literary'] latest novel beatti bring documentari accuraci chekhovian wit tender made one acclaim portraitist contemporari american life marshal lockard professor local colleg contempl adulteri unawar wife alreadi commit
173,the little prince,antoinedesaint-exupã©ry harcourt ['juvenilefiction' 'fairytales&folklore' 'general'] pilot forc sahara meet strang littl princ anoth planet
174,the story of england,christopherhibbert phaidonpress ['history' 'europe' 'general'] concis illustr guid england polit econom cultur histori neolith present day littl depth centuri chase across page provid attract basic introduct english hillfort monument build king queen well paint manuscript
175,see no evil: the true story of a ground soldier in the cia's war on terrorism,robertbaer threeriverspress ['politicalscience' 'terrorism'] explos new york time bestsel top cia oper robert baer paint chill pictur terror work insid provid startl evid washington polit sabotag cia effort root world deadliest terrorist allow rise osama bin laden al qaeda continu entrench saddam hussein iraqa veteran case offic director oper middl east wit first hand inadequ respons lead attack septemb rivet book indict agenc lost way unpreced look root modern includ afterword speak american war profound implic throughout eastrobert consid perhap best ontheground field eastseymour hersh yorkerfrom prefacethi memoir one foot soldier career cold terrorist network stori place american never travel peopl mani would prefer think dont need busi withthi hope show reader spi suppos work bring back accomplish purpos well angri happen want everi everyon care preserv countri alarm tooth systemat destroy polit correct petti beltway war career much time threat compound global monitor scrub clean instead make money bother life good white hous nation secur council becam cathedr commerc interest big outweigh protect citizen home abroad defang dispirit went along ride reckon vast careless present world see
176,antarctica,kimstanleyrobinson bantam ['fiction' 'sciencefiction' 'action&adventure'] treati protect antarctica profit dissolvesend politician corpor scrambl plunder resourcesa radic environment group embark campaign sabotag protect land pristin beauti
177,rough justice,lisascottoline harpertorch ['fiction' 'thrillers' 'general'] dispatch presid report state still troubl kosovo trust agent blake johnson run militari man name harri miller task british prime minist band togeth time stop russian offic torch mosqu rather stop bullet foreheadthi action consider consequ associ includ britain sean dillon great mani peopl way top govern unit state britain russia death beget reveng lead chain reaction event done london beirut ireland moscow plenti
178,revenge of the middle-aged woman,elizabethbuchan penguinusa(paper) ['fiction' 'romance' 'general'] twentyf year rose lloyd juggl marriag motherhood career remark success life famili picnic book wine cherish hous exquisit design gardensunni comfort care manag becom accustom come crash around whenov cours daysher fall apart whose anguish bare soften ministr friend grown children problem ever start easili amaz prolong reflect slim effect lost appetit new slant independ littl parisian lingeri especi old flame suddenli reappear full humor clever insight whimsic sens absurd reveng middleag woman irresist fine written fantasi anyon wonder certain age would look like beyond lookingglassand find ripe promis best day yet come
179,when elephants weep: the emotional lives of animals,jeffreymoussaieffmasson delta ['nature' 'animals' 'general'] nation bestsel explor complex emot live anim hail masterpiec elizabeth marshal thoma marvel jane goodallth popular eleph weep swept nation author jeffrey masson appear datelin nbc good morn america profil peopl groundbreak fascin studi sinc darwin express emot man book thoroughli effect explor full rang exist throughout anim kingdom danc squirrel bash gorilla spite killer whale coauthor susan mccarthi bring forth anecdot illumin insight offer power proof exist emot chapter love joy anger fear shame compass loneli frame provoc reevalu treat hunt eat scientif experiment form complet compel pictur inner assur never look way
180,"save your money, save your face: what every cosmetic buyer needs to know",elainebrumberg smithmarkpub ['medical' 'general'] discuss type ingredi cost select use lipstick blusher foundat powder eye makeup skin care product
181,"365 snacks, hors d'oeuvres, and appetizers",lonniegandara cookbooks ['cooking' 'general'] guid prepar finger food snack appet cocktail offer recip everi day year author great barbecu grill recip nation adpromo
182,adrian mole: the lost years,suetownsend sohopress ['fiction' 'general'] latest diari setupon yet ambiti closet geniu hilari hedonist marvel move fill kind soul scath sli muse us indulg would never divulg disarm pang prevar laid bare amus adrian mole misunderstood malign muddl nerdi hoot oddli captiv
183,creating a beautiful home,alexandrastoddard williammorrow&amp;company ['architecture' 'interiordesign' 'general'] alexandra stoddard brought beauti grace live million world mani book includ phenomen betsel live beauti life creat home gener share profession secret interior design well person experi renov decor connecticut origin imagin idea everi room hous inform inspir excit journey discoveri transform space warm welcom oasi harmoni joy
184,the great fire,monicadickens doubleday ['fiction' 'romance' 'general'] twenti year classic transit venu shirley hazzard return fiction novel word ann patchett brilliant dazzlingth great fire extraordinari love stori set immedi aftermath conflagr second world war wartorn asia stricken europ men women still young veteran harsh experi must reinvent live expect learn past dream fulfil destini other falter center brave soldier find surviv worldli achiev enough counterpart girl live occupi japan tend die brother fall process discov loom shadow enmiti resum asia come central affair man woman seek recov selfreli balanc tender struggl reclaim human pure simpli one greatest writer work english today michael cunninghamth winner nation book award
185,reversible errors,scottturow warnervision ['fiction' 'mystery&detective' 'hard-boiled'] corpor lawyer arthur raven defend reopen case deathrow inmat may innoc prosecut attorney muriel wynn larri starczek fight convict still believ deserv reissu cb televis miniseri air star william h maci tom selleck felic huffman monica potter suspens
